dataset,config,seconds
151507,agglomerative@sw0.0,5.4298
151507,agglomerative@sw0.3,6.252733333333333
151507,agglomerative@sw0.8,6.2685666666666675
151507,birch@sw0.0,5.7781666666666665
151507,birch@sw0.3,6.6572
151507,birch@sw0.8,6.602133333333334
151507,gaussian_mixture@sw0.0,5.7871999999999995
151507,gaussian_mixture@sw0.3,6.732833333333333
151507,gaussian_mixture@sw0.8,6.726
151507,kmeans@sw0.0,5.441466666666667
151507,kmeans@sw0.3,6.199133333333333
151507,kmeans@sw0.8,6.288966666666667
151507,spectral@sw0.0,10.730500000000001
151507,spectral@sw0.3,8.862233333333334
151507,spectral@sw0.8,6.8159
151669,agglomerative@sw0.0,7.186933333333333
151669,agglomerative@sw0.3,7.7177999999999995
151669,agglomerative@sw0.8,8.091466666666667
151669,birch@sw0.0,7.049666666666667
151669,birch@sw0.3,7.976366666666666
151669,birch@sw0.8,7.7988
151669,gaussian_mixture@sw0.0,7.561166666666666
151669,gaussian_mixture@sw0.3,8.232966666666668
151669,gaussian_mixture@sw0.8,8.1423
151669,kmeans@sw0.0,7.095833333333334
151669,kmeans@sw0.3,7.6778
151669,kmeans@sw0.8,7.6756
151669,spectral@sw0.0,10.444733333333334
151669,spectral@sw0.3,10.104533333333334
151669,spectral@sw0.8,7.995766666666667
151670,agglomerative@sw0.0,6.952633333333334
151670,agglomerative@sw0.3,7.2764999999999995
151670,agglomerative@sw0.8,6.971433333333334
151670,birch@sw0.0,7.430066666666666
151670,birch@sw0.3,7.5006666666666675
151670,birch@sw0.8,7.4507666666666665
151670,gaussian_mixture@sw0.0,7.075399999999999
151670,gaussian_mixture@sw0.3,7.5774
151670,gaussian_mixture@sw0.8,7.298233333333333
151670,kmeans@sw0.0,6.893266666666666
151670,kmeans@sw0.3,7.316233333333333
151670,kmeans@sw0.8,6.926266666666667
151670,spectral@sw0.0,10.184933333333333
151670,spectral@sw0.3,9.678466666666667
151670,spectral@sw0.8,7.535166666666666
151673,agglomerative@sw0.0,7.071866666666668
151673,agglomerative@sw0.3,8.2416
151673,agglomerative@sw0.8,7.825266666666667
151673,birch@sw0.0,7.589300000000001
151673,birch@sw0.3,7.914999999999999
151673,birch@sw0.8,7.949866666666666
151673,gaussian_mixture@sw0.0,7.599833333333334
151673,gaussian_mixture@sw0.3,8.8921
151673,gaussian_mixture@sw0.8,8.351
151673,kmeans@sw0.0,7.376633333333333
151673,kmeans@sw0.3,8.139833333333334
151673,kmeans@sw0.8,7.785266666666666
151673,spectral@sw0.0,10.646633333333334
151673,spectral@sw0.3,9.286133333333334
151673,spectral@sw0.8,8.124333333333334
151674,agglomerative@sw0.0,7.445733333333333
151674,agglomerative@sw0.3,7.844166666666666
151674,agglomerative@sw0.8,7.770133333333334
151674,birch@sw0.0,7.667366666666666
151674,birch@sw0.3,7.575333333333333
151674,birch@sw0.8,7.757533333333334
151674,gaussian_mixture@sw0.0,8.147566666666668
151674,gaussian_mixture@sw0.3,8.217233333333333
151674,gaussian_mixture@sw0.8,8.357466666666667
151674,kmeans@sw0.0,8.5479
151674,kmeans@sw0.3,7.612566666666666
151674,kmeans@sw0.8,8.0707
151674,spectral@sw0.0,10.040766666666668
151674,spectral@sw0.3,8.809199999999999
151674,spectral@sw0.8,7.847266666666666
