held_out_dataset,held_out_platform,training_datasets,oracle_methods,oracle_score,recommended_methods,recommended_method,recommended_score,top1_hit,top3_hit,selection_regret,global_best_baseline,global_best_score,global_best_regret,random_expected_score,random_expected_regret
151673,Visium,151674|151507|151669|151670|merfish|slideseqv2|xenium,spectral@sw0.8,0.3018812441837427,agglomerative@sw0.8|birch@sw0.8|kmeans@sw0.3,agglomerative@sw0.8,0.24560875008751212,False,False,0.05627249409623056,kmeans@sw0.3,0.2500715350135494,0.051809709170193285,0.20566547814324762,0.09621576604049506
151674,Visium,151673|151507|151669|151670|merfish|slideseqv2|xenium,agglomerative@sw0.8,0.30002254262180444,spectral@sw0.3|gaussian_mixture@sw0.8|spectral@sw0.8,spectral@sw0.3,0.1761931129593751,False,False,0.12382942966242935,spectral@sw0.3,0.1761931129593751,0.12382942966242935,0.2339373079137227,0.06608523470808175
151507,Visium,151673|151674|151669|151670|merfish|slideseqv2|xenium,gaussian_mixture@sw0.8,0.26265344463682183,agglomerative@sw0.8|birch@sw0.8|kmeans@sw0.3,agglomerative@sw0.8,0.21576135178991462,False,False,0.04689209284690721,kmeans@sw0.3,0.2401616476653766,0.022491796971445238,0.1829573882959664,0.07969605634085544
151669,Visium,151673|151674|151507|151670|merfish|slideseqv2|xenium,agglomerative@sw0.8,0.1895454791432171,spectral@sw0.3|gaussian_mixture@sw0.8|spectral@sw0.8,spectral@sw0.3,0.16789329493648572,False,False,0.021652184206731373,kmeans@sw0.3,0.16555647657420372,0.023989002569013373,0.1384626219478405,0.051082857195376585
151670,Visium,151673|151674|151507|151669|merfish|slideseqv2|xenium,spectral@sw0.3,0.346417381108651,spectral@sw0.8|gaussian_mixture@sw0.8|kmeans@sw0.8,spectral@sw0.8,0.2207146398145301,False,False,0.1257027412941209,kmeans@sw0.3,0.22146459984255526,0.12495278126609574,0.16936594598614152,0.17705143512250948
merfish,MERFISH,151673|151674|151507|151669|151670|slideseqv2|xenium,spectral@sw0.0,0.5525071939119691,kmeans@sw0.3|kmeans@sw0.0|agglomerative@sw0.3,kmeans@sw0.3,0.3001811644303521,False,False,0.25232602948161703,kmeans@sw0.3,0.3001811644303521,0.25232602948161703,0.24212382031135282,0.3103833736006163
slideseqv2,Slide-seqV2,151673|151674|151507|151669|151670|merfish|xenium,agglomerative@sw0.3,0.09429149486889753,kmeans@sw0.3|agglomerative@sw0.3|kmeans@sw0.0,kmeans@sw0.3,0.0911868873900723,False,True,0.003104607478825225,kmeans@sw0.3,0.0911868873900723,0.003104607478825225,0.06414399615081058,0.030147498718086946
xenium,Xenium,151673|151674|151507|151669|151670|merfish|slideseqv2,agglomerative@sw0.0,0.5207155124587609,agglomerative@sw0.8|birch@sw0.8|kmeans@sw0.3,agglomerative@sw0.8,0.2463271151326959,False,False,0.274388397326065,kmeans@sw0.3,0.496968188584282,0.02374732387447892,0.39780938762040036,0.12290612483836055
