study_id,unit_id,n_obs,n_vars,aspect_ratio,sparsity,mean_nonzero,library_mean,library_cv,expression_entropy,spatial_autocorrelation,cluster_tendency,mean_nn_distance,spatial_density_cv,spatial_entropy,effective_rank_90,effective_rank_95,sv_entropy
HER2ST,A,346.0,12562.0,36.30635838150289,0.8166493038459874,1.9462333343790195,4482.66455078125,0.48258835077285767,11.844356536865234,0.3002140942177431,0.3165276145796838,0.06085429775134666,0.3800110962748889,6.506309381101737,63.0,118.0,0.44404464431073226
HER2ST,B,295.0,12682.0,42.989830508474576,0.873697139145566,2.230843789614474,3573.30517578125,1.4077221155166626,12.020185470581055,0.65700008726572,0.498231525523831,0.05722279785421905,0.40314762704581486,6.212778394050187,5.0,21.0,0.23871617992255456
HER2ST,D,306.0,13814.0,45.1437908496732,0.7435582070287697,2.340978467732041,8292.8857421875,0.6164512634277344,12.120430946350098,0.46854682863530106,0.28303706378454785,0.0647760857961571,0.3350589704045007,6.53904294880989,21.0,61.0,0.36758512132604226
HER2ST,E,587.0,12179.0,20.74787052810903,0.9132687552637944,2.094347534384435,2212.259033203125,0.5340407490730286,10.446046829223633,0.6478507118117696,0.5509806100082912,0.0387577970442498,0.35492515591672014,6.113759590331222,6.0,28.0,0.24713918405527402
HER2ST,F,691.0,12967.0,18.765557163531113,0.8504323063432646,1.833204492611308,3555.39794921875,0.37708717584609985,11.719205856323242,0.3655629323302994,0.38076340801372843,0.0393771530170029,0.2577846116033465,6.383891317612005,97.0,179.0,0.4214577883199127
HER2ST,H,613.0,12491.0,20.3768352365416,0.9210427919194806,1.8020242352466365,1777.2545166015625,0.7259137630462646,11.15520191192627,0.46646849618652936,0.3889274972357714,0.043101544851679385,0.31266094509157916,6.422576984003284,6.0,36.0,0.2511833289005592
CRC_V4,A120838,688.0,16570.0,32.26086855334202,0.7779873961562269,2.583654252475121,9506.375244140625,0.5116016566753387,11.763740539550781,0.5636450885924615,0.538726677846578,0.040810366639056475,0.34313200892865015,6.134279010078211,13.0,51.5,0.3444766747642113
CRC_V4,A121573,2294.0,20018.5,8.74162553255471,0.7976098690104795,2.8804357318308105,11686.33203125,0.5265533626079559,11.632641315460205,0.6082160171150142,0.5552971273761013,0.020568736080630673,0.3745326312454133,6.322098529717172,7.5,15.0,0.33132907654188526
CRC_V4,A416371,2060.0,19397.0,9.55910819520815,0.7770663992057112,3.0097282790136486,13056.86865234375,0.6479116082191467,11.77595043182373,0.724459604003848,0.5384001818847705,0.021867983850119184,0.3503281590286102,6.309002453602506,5.0,30.0,0.19630413046863102
CRC_V4,A551763,955.0,16199.5,18.700624696525942,0.8227024357660022,2.10063749013127,7033.0064697265625,0.45075489580631256,11.932055473327637,0.39749848578083824,0.4713458974881841,0.03256088768205212,0.36660525764701957,6.261277442119956,76.0,159.5,0.43592508833780796
CRC_V4,A595688,789.5,18134.0,29.736292119730155,0.7632242546869947,3.09939043219876,13322.69970703125,0.5630007535219193,11.629014492034912,0.588086891140695,0.654743865339992,0.03152060301825299,0.38847062345567707,5.810123192581866,6.0,11.0,0.3248950791824406
CRC_V4,A798015,1670.5,19028.0,11.392712230679912,0.8516745242739607,3.0421979208654717,8615.1962890625,0.8389640748500824,10.87966537475586,0.5295381771309411,0.5295503811692758,0.024509867162437696,0.3349789717554258,6.339620842554756,3.5,6.0,0.16054221024199877
CRC_V4,A938797,1909.5,19983.0,10.634551617808565,0.7919053071179434,2.994932715015122,12971.54541015625,0.6001895666122437,11.70344877243042,0.511041628017945,0.5278461732870283,0.022464451163789464,0.39186223091485706,6.289462855169404,6.0,9.5,0.27104511750453764
