,isus,i_d_e,i_d_s_given_e,band,n_obs,n_domains,spatial_ARI_gain
151507,0.23822862711046525,0.5782817873365199,0.13776327628016516,modest-spatial-signal,4221,7,0.1253146181388894
151669,0.4200039055602172,0.4799265345736109,0.2015710189028972,spatial-critical,3645,8,0.09633271629425981
151670,0.30231452642217277,0.4183953366324457,0.1264869880512834,spatial-critical,3484,5,0.19755128293267712
151673,0.07688279642691283,0.7872696614216084,0.0605274931121621,expression-sufficient,3611,7,0.1297759059005244
151674,0.09655429390605089,0.8239008695699886,0.07955116670991158,expression-sufficient,3635,7,0.11540978979321878
